Year,Title,Genre,Author,AuthorGender,AuthorAge,Pages,Rating,RatingCount,IsBestSeller
2017,Autumn,Fiction,Ali Smith,female,54,264,3.7,10259,FALSE
2017,Exit West,Fiction,Mohsin Hamid,male,46,240,3.8,27086,TRUE
2017,Pachinko,Fiction,Min Jin Lee,female,49,496,4.2,10929,TRUE
2017,The Power,Fiction,Naomi Alderman,female,43,288,3.9,16655,FALSE
2017,"Sing, Unburied, Sing",Fiction,Jesmyn Ward,female,41,285,4.1,7033,TRUE
2017,The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World - And Us,Nonfiction,Richard O. Prum,male,56,400,4.1,147,FALSE
2017,Grant,Nonfiction,Ron Chernow,male,69,1104,4.6,569,TRUE
2017,Locking Up Our Own: Crime and Punishment in Black America,Nonfiction,James Forman Jr. Jr.,male,50,320,4.3,254,FALSE
2017,Prairie Fires: The American Dreams of Laura Ingalls Wilder,Nonfiction,Caroline Fraser,female,0,640,4.3,89,FALSE
2017,Priestdaddy: A Memoir,Nonfiction,Patricia Lockwood,female,35,336,3.9,2415,FALSE
2016,The Association of Small Bombs,Fiction,Karan Mahajan,male,32,288,3.6,6788,FALSE
2016,The North Water,Fiction,Ian McGuire,male,52,272,4.0,12646,TRUE
2016,The Underground Railroad,Fiction,Colson Whitehead,male,47,306,4.0,82601,TRUE
2016,The Vegetarian,Fiction,Han Kang,female,37,188,3.6,34421,FALSE
2016,War and Turpentine,Fiction,Stefan Hertmans,male,62,304,3.9,4240,FALSE
2016,"At the Existentialist Cafe: Freedom, Being, and Apricot Cocktails",Nonfiction,Sarah Bakewell,female,53,440,4.2,2886,FALSE
2016,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Nonfiction,Jane Mayer,female,61,464,4.3,7622,TRUE
2016,Evicted: Poverty and Profit in the American City,Nonfiction,Matthew Desmond,male,0,418,4.5,15452,TRUE
2016,In the Darkroom,Nonfiction,Susan Faludi,female,57,432,4.0,1520,FALSE
2016,"The Return: Fathers, Sons, and the Land in Between",Nonfiction,Hisham Matar,male,46,288,4.2,2123,FALSE
2015,The Door,Fiction,Magda Szabó,female,69,272,4.1,8242,FALSE
2015,A Manual for Cleaning Women: Selected Stories,Fiction,Lucia Berlin,female,-10,432,4.2,7661,TRUE
2015,Outline,Fiction,Rachel Cusk,female,48,249,3.4,6499,FALSE
2015,The Sellout,Fiction,Paul Beatty,male,0,289,3.8,25137,TRUE
2015,"The Story of the Lost Child (The Neapolitan Novels, #4)",Fiction,Elena Ferrante,female,71,480,4.4,27561,TRUE
2015,Between the World and Me,Nonfiction,Ta-Nehisi Coates,male,40,152,4.4,99500,TRUE
2015,Empire of Cotton: A Global History,Nonfiction,Sven Beckert,male,0,640,3.8,1311,TRUE
