MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,Origin,Manufacturer,model
18,7-8 Cyl.,307,130,3504,12,1970,North America,chevrolet,chevelle malibu
15,7-8 Cyl.,350,165,3693,11.5,1970,North America,buick,skylark 320
18,7-8 Cyl.,318,150,3436,11,1970,North America,plymouth,satellite
16,7-8 Cyl.,304,150,3433,12,1970,North America,amc,rebel sst
17,7-8 Cyl.,302,140,3449,10.5,1970,North America,ford,torino
15,7-8 Cyl.,429,198,4341,10,1970,North America,ford,galaxie 500
14,7-8 Cyl.,454,220,4354,9,1970,North America,chevrolet,impala
14,7-8 Cyl.,440,215,4312,8.5,1970,North America,plymouth,fury iii
14,7-8 Cyl.,455,225,4425,10,1970,North America,pontiac,catalina
15,7-8 Cyl.,390,190,3850,8.5,1970,North America,amc,ambassador dpl
15,7-8 Cyl.,383,170,3563,10,1970,North America,dodge,challenger se
14,7-8 Cyl.,340,160,3609,8,1970,North America,plymouth,'cuda 340
15,7-8 Cyl.,400,150,3761,9.5,1970,North America,chevrolet,monte carlo
14,7-8 Cyl.,455,225,3086,10,1970,North America,buick,estate wagon (sw)
24,3-4 Cyl.,113,95,2372,15,1970,Asia,toyota,corona mark ii
22,5-6 Cyl.,198,95,2833,15.5,1970,North America,plymouth,duster
18,5-6 Cyl.,199,97,2774,15.5,1970,North America,amc,hornet
21,5-6 Cyl.,200,85,2587,16,1970,North America,ford,maverick
27,3-4 Cyl.,97,88,2130,14.5,1970,Asia,datsun,pl510
26,3-4 Cyl.,97,46,1835,20.5,1970,Europe,volkswagen,1131 deluxe sedan
25,3-4 Cyl.,110,87,2672,17.5,1970,Europe,peugeot,504
24,3-4 Cyl.,107,90,2430,14.5,1970,Europe,audi,100 ls
25,3-4 Cyl.,104,95,2375,17.5,1970,Europe,saab,99e
26,3-4 Cyl.,121,113,2234,12.5,1970,Europe,bmw,2002
21,5-6 Cyl.,199,90,2648,15,1970,North America,amc,gremlin
10,7-8 Cyl.,360,215,4615,14,1970,North America,ford,f250
10,7-8 Cyl.,307,200,4376,15,1970,North America,chevrolet,c20
11,7-8 Cyl.,318,210,4382,13.5,1970,North America,dodge,d200
9,7-8 Cyl.,304,193,4732,18.5,1970,North America,hi,1200d
27,3-4 Cyl.,97,88,2130,14.5,1971,Asia,datsun,pl510
28,3-4 Cyl.,140,90,2264,15.5,1971,North America,chevrolet,vega 2300
25,3-4 Cyl.,113,95,2228,14,1971,Asia,toyota,corona
19,5-6 Cyl.,232,100,2634,13,1971,North America,amc,gremlin
16,5-6 Cyl.,225,105,3439,15.5,1971,North America,plymouth,satellite custom
17,5-6 Cyl.,250,100,3329,15.5,1971,North America,chevrolet,chevelle malibu
19,5-6 Cyl.,250,88,3302,15.5,1971,North America,ford,torino 500
18,5-6 Cyl.,232,100,3288,15.5,1971,North America,amc,matador
14,7-8 Cyl.,350,165,4209,12,1971,North America,chevrolet,impala
14,7-8 Cyl.,400,175,4464,11.5,1971,North America,pontiac,catalina brougham
14,7-8 Cyl.,351,153,4154,13.5,1971,North America,ford,galaxie 500
14,7-8 Cyl.,318,150,4096,13,1971,North America,plymouth,fury iii
12,7-8 Cyl.,383,180,4955,11.5,1971,North America,dodge,monaco (sw)
13,7-8 Cyl.,400,170,4746,12,1971,North America,ford,country squire (sw)
13,7-8 Cyl.,400,175,5140,12,1971,North America,pontiac,safari (sw)
18,5-6 Cyl.,258,110,2962,13.5,1971,North America,amc,hornet sportabout (sw)
