id,emoji,name,description,keywords
0,😀,Grinning Face,"A yellow face with simple, open eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general pleasure and good cheer or humor.",showing upper teeth open smile eyes face with simple yellow
1,😃,Grinning Face with Big Eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.",showing upper teeth open smile yellow face with smiling eyes
2,😄,Grinning Face with Smiling Eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.",showing upper teeth open smile yellow face with smiling eyes
3,😁,Beaming Face with Smiling Eyes,"A yellow face with smiling eyes and full-toothed grin, as if saying Cheese! for the camera. Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud.",full-toothed grin yellow face with smiling eyes and Cheese
4,😆,Grinning Squinting Face,"A yellow face with a broad, open smile and scrunched, X-shaped eyes. Often conveys excitement or hearty laughter.",X-shaped eyes open smile and scrunched yellow face broad
5,😅,Grinning Face with Sweat,"Has the same grin and eyes as 😄 Grinning Face With Smiling Eyes but with a single, blue bead of sweat, usually over its left eye. Intended to depict nerves or discomfort but commonly used to express a close call, as if saying Whew! and wiping sweat from the forehead. ",Grinning Face With Smiling Eyes blue bead left eye
6,🤣,Rolling on the Floor Laughing,"A yellow face with a big grin and scrunched, X-shaped eyes, tilted on its side as if rolling on the floor laughing (the internet acronym ROFL). Sheds two tears and tilts right on most platforms. Often conveys hysterical laughter more intense than 😂 Face With Tears of Joy.",internet acronym ROFL X-shaped eyes grin and scrunched floor laughing big
7,😂,Face with Tears of Joy,"A yellow face with a big grin, uplifted eyebrows, and smiling eyes, each shedding a tear from laughing so hard. Widely used to show something is funny or pleasing. Named the Oxford Dictionaries 2015 Word of the Year, and the most used emoji on all platforms from 2011-2021.",uplifted eyebrows big grin smiling eyes laughing so hard yellow face shedding a tear from
8,🙂,Slightly Smiling Face,"A yellow face with simple, open eyes and a thin, closed smile. Conveys a wide range of positive, happy, and friendly sentiments. Its tone can also be patronizing, passive-aggressive, or ironic, as if saying This is fine when it’s really not.",closed smile face with simple open eyes yellow thin
9,🙃,Upside-Down Face,"A classic smiley, turned upside down. Implemented as a flipped version of 🙂 Slightly Smiling Face on most platforms.",Slightly Smiling Face classic smiley turned upside
10,😉,Winking Face,"A yellow face with a slight smile shown winking, usually its left eye. May signal a joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic.",smile shown winking slight left eye yellow face
11,😊,Smiling Face with Smiling Eyes,"A yellow face with smiling eyes and a broad, closed smile turning up to rosy cheeks. Often expresses genuine happiness and warm, positive feelings.",closed smile turning rosy cheeks yellow face with smiling eyes
12,😇,Smiling Face with Halo,"A yellow face with smiling eyes, closed smile, and halo, usually blue, overhead. Often represents angels, prayers, and blessings. May also convey angelic behavior, e.g., doing good deeds. See also 👼 Baby Angel.",closed smile smiling eyes yellow face with overhead Baby Angel
13,🥰,Smiling Face with Hearts,"A yellow face with smiling eyes, a closed smile, rosy cheeks, and several hearts floating around its head. Expresses a range of happy, affectionate feelings, especially being in love. The number of hearts (three or more) varies by platform.",rosy cheeks smiling eyes closed smile yellow face with hearts floating
14,😍,Smiling Face with Heart-Eyes,"A yellow face with an open smile, sometimes showing teeth, and red, cartoon-styled hearts for eyes. Often conveys enthusiastic feelings of love, infatuation, and adoration, e.g., I love/am in love with this person or thing.",open smile showing teeth cartoon-styled hearts for eyes yellow face
15,🤩,Star-Struck,"A yellow face with a broad, open smile, showing upper teeth on most platforms, with stars for eyes, as if seeing a beloved celebrity. Color of stars widely varies by platform, though commonly gold or red. May express that someone or something is amazing, fascinating, impressive, or exciting.",showing upper teeth open smile beloved celebrity yellow face stars for eyes
16,😘,Face Blowing a Kiss,"A yellow face winking with puckered lips blowing a kiss, depicted as a small, red heart. May represent a kiss goodbye or good night and convey feelings of love and affection more generally. ",yellow face winking puckered lips blowing red heart with
17,😗,Kissing Face,"A yellow face with simple, open eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection.",puckered lips giving face with simple open eyes a kiss yellow and
18,☺️, Smiling Face,"A classic smiley. A yellow face with a modest smile, rosy cheeks, and soft, closed eyes. Many platforms, including Apple, feature relaxed eyebrows. Conveys a wide range of warm, positive feelings, including love, happiness, and gratitude.",classic smiley including Apple rosy cheeks closed eyes feature relaxed eyebrows modest smile
19,😚,Kissing Face with Closed Eyes,"A yellow face with smiling eyes, rosy cheeks, and puckered lips giving a kiss. Commonly conveys sentiments of romantic love and affection. Several platforms, including Apple, feature the same eyes and cheeks as their ☺️ Smiling Face.",puckered lips giving a kiss rosy cheeks yellow face Smiling Face
20,😙,Kissing Face with Smiling Eyes,A yellow face with smiling eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection.,puckered lips giving a kiss yellow face with smiling eyes and
21,🥲,Smiling Face with Tear,"A yellow face with open eyes, a thin closed-mouth smile, and a single tear falling from one of its eyes. Can be used to express a wide range of emotions and expressions including gratitude, tender happiness, an attempt to look happy when actually sad, or smiling through pain. Can also be a response to something that is bittersweet.",thin closed-mouth smile single tear falling open eyes yellow face with
22,😋,Face Savoring Food,"A yellow face with smiling eyes and a broad, closed smile with its tongue sticking out of one corner, as if licking its lips in appetite or contentment. Widely used to convey that a food item is delicious. May also express that a person is attractive.",closed smile appetite or contentment yellow face with smiling eyes tongue sticking licking its lips
23,😛,Face with Tongue,"A yellow face with small, open eyes and a big grin, playfully sticking out its tongue. Can variously convey a sense of fun, excitement, silliness, cuteness, happiness, or jesting, as if saying Just kidding!",face with small open eyes big grin playfully sticking yellow
24,😜,Winking Face with Tongue,"A yellow face sticking out its tongue and making a zany wink, usually shown with its right eye closed and left wide open. Often conveys a sense of fun, excitement, wackiness, buffoonery, or joking.",left wide open yellow face sticking zany wink tongue and making
25,🤪,Zany Face,"A smiley making a silly face. A yellow face with a big grin and wide, white eyes, one larger than the other and in a wild, cockeyed expression. Many platforms, including Apple, depict its tongue stuck out and head tilted; others feature a full-toothed grin, giving it a more unhinged appearance.",smiley making a silly face yellow including Apple white eyes cockeyed expression
26,😝,Squinting Face with Tongue,"A yellow face with scrunched, X-shaped eyes and a big grin, sticking out its tongue. Often conveys a sense of fun, excitement, playfulness, hilarity, and happiness, as if saying Squee! or Awesome! ",X-shaped eyes face with scrunched big grin yellow
27,🤑,Money-Mouth Face,"A yellow face with raised eyebrows, dollar signs for eyes, and an open smile sticking out a tongue styled after a green, dollar banknote. Some platforms depict the dollar-sign eyes in green circles.",open smile sticking dollar banknote signs raised eyebrows yellow face with
28,🤗,Hugging Face,"A yellow face smiling with open hands, as if giving a hug. May be used to offer thanks and support, show love and care, or express warm, positive feelings more generally.",yellow face smiling open hands giving a hug with
