id,emoji,name,description,keywords,sentiment_label,sentiment_score
0,😀,Grinning Face,"A yellow face with simple, open eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general pleasure and good cheer or humor.",yellow face simple broad open smile showing,POSITIVE,0.9997627139091492
1,😃,Grinning Face with Big Eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.",yellow face smiling eyes smile showing broad,POSITIVE,0.9998676776885986
2,😄,Grinning Face with Smiling Eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.",yellow face smiling eyes smile showing broad,POSITIVE,0.9998676776885986
3,😁,Beaming Face with Smiling Eyes,"A yellow face with smiling eyes and full-toothed grin, as if saying Cheese! for the camera. Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud.",yellow face smiling eyes toothed grin saying,POSITIVE,0.9990106821060181
4,😆,Grinning Squinting Face,"A yellow face with a broad, open smile and scrunched, X-shaped eyes. Often conveys excitement or hearty laughter.",yellow face broad eyes conveys excitement open smile shaped scrunched,POSITIVE,0.9993231296539307
5,😅,Grinning Face with Sweat,"Has the same grin and eyes as 😄 Grinning Face With Smiling Eyes but with a single, blue bead of sweat, usually over its left eye. Intended to depict nerves or discomfort but commonly used to express a close call, as if saying Whew! and wiping sweat from the forehead. ",face smiling eyes grinning grin,NEGATIVE,0.9344798922538757
6,🤣,Rolling on the Floor Laughing,"A yellow face with a big grin and scrunched, X-shaped eyes, tilted on its side as if rolling on the floor laughing (the internet acronym ROFL). Sheds two tears and tilts right on most platforms. Often conveys hysterical laughter more intense than 😂 Face With Tears of Joy.",laughter intense face acronym rofl internet tears joy sheds laughing rolling floor,POSITIVE,0.9977315068244934
7,😂,Face with Tears of Joy,"A yellow face with a big grin, uplifted eyebrows, and smiling eyes, each shedding a tear from laughing so hard. Widely used to show something is funny or pleasing. Named the Oxford Dictionaries 2015 Word of the Year, and the most used emoji on all platforms from 2011-2021.",year used emoji platforms 2011 widely funny smiling eyes,POSITIVE,0.9992944002151489
8,🙂,Slightly Smiling Face,"A yellow face with simple, open eyes and a thin, closed smile. Conveys a wide range of positive, happy, and friendly sentiments. Its tone can also be patronizing, passive-aggressive, or ironic, as if saying This is fine when it’s really not.",yellow face simple closed smile conveys eyes open wide,POSITIVE,0.9995731711387634
9,🙃,Upside-Down Face,"A classic smiley, turned upside down. Implemented as a flipped version of 🙂 Slightly Smiling Face on most platforms.",smiley turned upside classic implemented slightly smiling face,NEGATIVE,0.9942318797111511
10,😉,Winking Face,"A yellow face with a slight smile shown winking, usually its left eye. May signal a joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic.",smile shown winking face slight yellow,POSITIVE,0.9711061120033264
11,😊,Smiling Face with Smiling Eyes,"A yellow face with smiling eyes and a broad, closed smile turning up to rosy cheeks. Often expresses genuine happiness and warm, positive feelings.",yellow face smiling eyes smile turning rosy broad,POSITIVE,0.9998784065246582
12,😇,Smiling Face with Halo,"A yellow face with smiling eyes, closed smile, and halo, usually blue, overhead. Often represents angels, prayers, and blessings. May also convey angelic behavior, e.g., doing good deeds. See also 👼 Baby Angel.",yellow face smiling represents angels prayers blessings convey angelic eyes overhead,POSITIVE,0.9984833598136902
13,🥰,Smiling Face with Hearts,"A yellow face with smiling eyes, a closed smile, rosy cheeks, and several hearts floating around its head. Expresses a range of happy, affectionate feelings, especially being in love. The number of hearts (three or more) varies by platform.",yellow face smiling rosy cheeks hearts eyes floating,POSITIVE,0.999861478805542
14,😍,Smiling Face with Heart-Eyes,"A yellow face with an open smile, sometimes showing teeth, and red, cartoon-styled hearts for eyes. Often conveys enthusiastic feelings of love, infatuation, and adoration, e.g., I love/am in love with this person or thing.",yellow face hearts eyes conveys open smile styled cartoon,POSITIVE,0.9997567534446716
15,🤩,Star-Struck,"A yellow face with a broad, open smile, showing upper teeth on most platforms, with stars for eyes, as if seeing a beloved celebrity. Color of stars widely varies by platform, though commonly gold or red. May express that someone or something is amazing, fascinating, impressive, or exciting.",yellow face color stars widely broad celebrity eyes seeing,POSITIVE,0.9994149208068848
16,😘,Face Blowing a Kiss,"A yellow face winking with puckered lips blowing a kiss, depicted as a small, red heart. May represent a kiss goodbye or good night and convey feelings of love and affection more generally. ",yellow face winking heart represent kiss blowing depicted puckered lips,POSITIVE,0.9980366826057434
17,😗,Kissing Face,"A yellow face with simple, open eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection.",yellow face simple lips giving kiss commonly conveys eyes puckered,POSITIVE,0.9997895359992981
18,☺️, Smiling Face,"A classic smiley. A yellow face with a modest smile, rosy cheeks, and soft, closed eyes. Many platforms, including Apple, feature relaxed eyebrows. Conveys a wide range of warm, positive feelings, including love, happiness, and gratitude.",smiley yellow face classic modest relaxed eyebrows conveys,POSITIVE,0.9998778104782104
19,😚,Kissing Face with Closed Eyes,"A yellow face with smiling eyes, rosy cheeks, and puckered lips giving a kiss. Commonly conveys sentiments of romantic love and affection. Several platforms, including Apple, feature the same eyes and cheeks as their ☺️ Smiling Face.",yellow face smiling cheeks eyes rosy feature,POSITIVE,0.9996376037597656
20,😙,Kissing Face with Smiling Eyes,A yellow face with smiling eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection.,yellow face smiling lips giving kiss eyes commonly conveys puckered,POSITIVE,0.9997729659080505
21,🥲,Smiling Face with Tear,"A yellow face with open eyes, a thin closed-mouth smile, and a single tear falling from one of its eyes. Can be used to express a wide range of emotions and expressions including gratitude, tender happiness, an attempt to look happy when actually sad, or smiling through pain. Can also be a response to something that is bittersweet.",smile single tear yellow face open closed mouth sad smiling pain response actually,POSITIVE,0.9991474151611328
22,😋,Face Savoring Food,"A yellow face with smiling eyes and a broad, closed smile with its tongue sticking out of one corner, as if licking its lips in appetite or contentment. Widely used to convey that a food item is delicious. May also express that a person is attractive.",yellow face smiling eyes broad smile tongue,POSITIVE,0.9994624257087708
23,😛,Face with Tongue,"A yellow face with small, open eyes and a big grin, playfully sticking out its tongue. Can variously convey a sense of fun, excitement, silliness, cuteness, happiness, or jesting, as if saying Just kidding!",big grin playfully yellow face small sticking tongue,POSITIVE,0.9990233182907104
24,😜,Winking Face with Tongue,"A yellow face sticking out its tongue and making a zany wink, usually shown with its right eye closed and left wide open. Often conveys a sense of fun, excitement, wackiness, buffoonery, or joking.",yellow face zany wink usually making sticking shown tongue,POSITIVE,0.99678635597229
