text,emojis
Water Purification,"['💧', '🚰', '🧼',   '🔬']"
Military Defense,"['🪖', '🛡️', '🔫', '🚁', '🏰']"
Mumbai,"['🌇', '🎥', '🛕', '🍛', '🏏']"
Artificial Intelligence,"['🤖', '🧠', '💻', '📊']"
Thailand 🇹🇭,"['🇹🇭', '🛕', '🏖️', '🐘', '🍛', '🌅']"
Vertical Farming,"['🏙️', '🌿', '🚜', '🌱', '✅']"
Nepal 🇳🇵,"['🇳🇵', '🏔️', '🛕', '🐐', '🧘‍♂️']"
Kyrgyzstan 🇰🇬,"['🇰🇬', '🏞️', '🐎', '🏕️', '🏔️']"
Autonomous drones deliver packages in rural areas.,"['🚁', '📦', '📡']"
Satellite Launch,"['🚀', '🛰️', '📡']"
Incubator,"['🐣', '🏢', '💡', '🚀', '📈']"
Lima,"['🇵🇪', '🏙️', '🐟', '🌊', '🏞️']"
Vaccination Campaign,"['💉', '📢', '🌍']"
South Korea 🇰🇷,"['🇰🇷', '🎶', '🎮', '🏙️', '🍜', '📱']"
Quarantine,"['🏠', '🚫', '😷']"
Bangladesh 🇧🇩,"['🇧🇩', '🌾', '🕌', '🐅', '🍚']"
Waste-to-Energy,"['🔋', '🗑️', '⚡️',   '🌍']"
Biodegradable Packaging,"['📦', '♻️', '🌱']"
Ashgabat,"['🇹🇲', '🏙️', '🏜️', '🐫', '🏛️']"
Smart Homes,"['🏡', '📱', '💡', '🔒']"
Cybersecurity,"['🔒', '🛡️', '🖥️']"
Bahamas 🇧🇸,"['🇧🇸', '🏝️', '🐚', '🐬', '🏖️']"
Dominican Republic 🇩🇴,"['🇩🇴', '🏖️', '🌴', '⚾️', '🎣']"
DNA Sequencing,"['🧬', '📊', '🔬']"
Concert,"['🎤', '🎸', '🎉']"
VR technology enhances remote employee training.,"['🕶️', '💼', '📚']"
Internet Connectivity,"['🌐', '📡', '📶',  '💻']"
Data Science,"['📊', '🧮', '💻']"
Human Rights,"['✊', '🤝', '⚖️']"
Haiti 🇭🇹,"['🇭🇹', '🏝️', '🥁', '🎨', '🏞️']"
Australia 🇦🇺,"['🇦🇺', '🐨', '🦘', '🌊', '🏄‍♂️', '🎶']"
Government Policy,"['🏛️', '📜', '⚖️', '📊', '👥']"
Aquaculture,"['🐟', '🌊', '🛶']"
Energy Storage Solutions,"['🔋', '⚡️', '💡']"
Colombo,"['🇱🇰', '🏖️', '🛕', '🐘', '🏙️']"
Traffic Safety,"['🚦', '🚓', '🦺', '🚴']"
Virtual Reality (VR),"['🕶️', '🎮', '🌐']"
Tourism,"['🏖️', '🏝️', '📸']"
Information Security,"['🔒', '🖥️', '🔐']"
India 🇮🇳,"['🇮🇳', '🛕', '🕌', '🥭', '🎉', '🐅']"
Machine Learning,"['📈', '🤖', '💻', '📊']"
Urban Green Spaces,"['🌳', '🏙️', '🏞️', '🐦']"
Fossil Fuels,"['⛽', '🏭', '🛢️', '📉', '🌍']"
Traffic Congestion,"['🚗', '🚕', '🚓', '🚦', '🐢']"
Genetically Modified Crops,"['🌽', '🧬', '🌾',   '⚗️']"
New York,"['🗽', '🌃', '💼', '🎭', '🏙️']"
Shanghai,"['🌆', '🏙️', '💼', '🐉', '🥟']"
Amman,"['🇯🇴', '🏜️', '🕌', '🏞️', '🐫']"
Sharing Economy,"['🚗', '🏠', '🤝',  '💡']"
Logistics,"['🚚', '📦', '📍']"
Climate Crisis,"['🌡️', '⚠️', '🌍', '🔥', '🚨']"
Hanoi,"['🏞️', '🚲', '🛕', '🌾', '🥢']"
Gene Editing,"['🧬', '✂️', '🔬', '🧪', '🧑‍🔬']"
Lebanon 🇱🇧,"['🇱🇧', '🏛️', '🏔️', '🍷', '🌳']"
Farmers market promotes organic produce in urban centers.,"['🌱', '🥕', '🏙️']"
Climate Change,"['🌍', '🌡️', '⚠️', '📉', '💨']"
Cyber Attack,"['💻', '🔥', '🕵️‍♂️']"
Food Security,"['🍚', '🥗', '🌍',   '🛡️']"
Denmark 🇩🇰,"['🇩🇰', '🏰', '🚲', '🌬️', '🧀', '🎄']"
Wind Energy,"['🌬️', '⚡️', '🏞️']"
Israel 🇮🇱,"['🇮🇱', '✡️', '🕍', '🏖️', '🏜️']"
Insurance,"['🛡️', '🏥', '🚗', '🏡', '✅']"
Mobile Payment,"['📱', '💳', '🏦', '🌐', '📈']"
San Francisco,"['🌉', '💻', '🚲', '☕️', '🏙️']"
Electric Bus,"['🚌', '⚡️', '🏙️', '📊', '✅']"
Banking,"['🏦', '💳', '💰']"
Birthday Party,"['🎂', '🎉', '🎈']"
Electric Car,"['🚗', '⚡️', '🔋', '🌍', '✅']"
Offshore Wind Farms,"['🌊', '🌬️', '⚡️', '🚢']"
VPN (Virtual Private Network),"['🔐', '🌐', '📡']"
Remote Learning,"['💻', '🎓', '🏠']"
Cuba 🇨🇺,"['🇨🇺', '🏝️', '🎺', '🌴', '🚬']"
Online voting system tested in pilot elections.,"['🗳️', '💻', '🇪🇪']"
Amsterdam,"['🚲', '🌷', '🏞️', '🛳️', '🧀']"
Tajikistan 🇹🇯,"['🇹🇯', '🏔️', '🏞️', '🐏', '🕌']"
Brazil 🇧🇷,"['🇧🇷', '🏖️', '🎉', '⚽️', '🌴', '🥥']"
Organic Farming,"['🌾', '🌱', '🐞', '🍅']"
France 🇫🇷,"['🇫🇷', '🗼', '🥖', '🍷', '🎨', '🥐']"
Climate Agreement,"['🌍', '✍️', '⚖️']"
China 🇨🇳,"['🇨🇳', '🏯', '🐉', '🎇', '🐼', '🌁']"
Cybercrime,"['🕵️‍♂️', '🖥️', '🔓', '💀', '🐍']"
Internet of Things (IoT),"['📶', '📡', '🔌', '🏠']"
Stock Market,"['📈', '📉', '💹', '💰', '🏦']"
Battery Storage,"['🔋', '⚡️', '🏠']"
Gamification,"['🎮', '🕹️', '📈',  '🧠']"
Theater,"['🎭', '🎫', '🎟️']"
Desertification,"['🏜️', '🌵', '☀️', '📉', '🌍']"
Pollination,"['🐝', '🌸', '🍯', '🌻', '✅']"
Fisheries Management,"['🐟', '🚢', '📊',   '🌍']"
Startup Accelerator,"['🚀', '⏩', '🏢', '💡', '📈']"
Online Classrooms,"['🧑‍🏫', '💻', '📚']"
Emergency Services,"['🚑', '🚒', '🚓', '🚨', '✅']"
Surveillance,"['📹', '🛰️', '👁️', '🕵️‍♀️', '🏙️']"
Waste Management,"['🗑️', '🚛', '♻️']"
Helsinki,"['❄️', '🦌', '🔭', '🎿', '🛶']"
Firefighting Efforts,"['🔥', '🚒', '👨‍🚒', '💦']"
Books and Literature,"['📚', '📖', '📝', '🏆', '✍️']"
Cybersecurity,"['🔒', '🛡️', '🖥️', '🧑‍💻', '🔑']"
Space Exploration,"['🚀', '🛰️', '🌌', '🌍']"
Digital Banking,"['💳', '🏦', '📱', '🌐']"
New offshore wind farms power coastal regions.,"['🌬️', '🌊', '⚡️']"
Sustainable Transport,"['🚲', '🚍', '🛴', '🌱']"
Bolivia 🇧🇴,"['🇧🇴', '🏞️', '🦙', '⛏️', '🏔️']"
The Middle East,"['🏜️', '🕌', '🕋', '🛢️', '🐪']"
Austria 🇦🇹,"['🇦🇹', '🎻', '🏰', '⛷️', '🍰', '🎿']"
Astronomy Research,"['🔭', '🌌', '🪐', '📚']"
Mental Health Support,"['🧠', '❤️', '🗣️']"
Facial recognition deployed at airport security gates.,"['🧑‍🦰', '👁️', '✈️']"
Surgery,"['🏥', '🩺', '🔪']"
Public Health Campaign,"['🏥', '💉', '📢', '👥', '✅']"
Music Festivals,"['🎶', '🎤', '🎸', '🎧', '🥳']"
Music,"['🎶', '🎧', '🎤']"
Agriculture,"['🌾', '🚜', '🌱']"
Robotics revolutionizes car manufacturing plants.,"['🤖', '🚗', '🏭']"
Electric scooters gaining popularity in Paris.,"['🛴', '⚡️', '🇫🇷']"
Augmented Reality,"['🕶️', '📱', '🧑‍💻',  '🌐']"
Democracy,"['🗳️', '🕊️', '🤝', '✊', '🏛️']"
Reforestation,"['🌳', '🌱', '🌲']"
Pharmaceutical Industry,"['💊', '🏭', '💉']"
Port Development,"['⚓️', '🚢', '🏗️', '📦']"
